id,username,email,created_at
1,admin,admin@subverse.local,2025-01-01 00:00:00
2,mod_alice,alice@subverse.local,2025-01-05 08:00:00
3,mod_bob,bob@subverse.local,2025-01-06 09:00:00
4,cipher_dev,cipher@mail.example,2025-02-10 12:00:00
5,rootkit_rose,rose.r@mail.example,2025-02-14 15:30:00
6,nullptr_,null@mail.example,2025-02-20 11:00:00
7,hexdump_hero,hex@mail.example,2025-03-01 09:45:00
8,ghost_signal,ghost@mail.example,2025-03-15 20:00:00
9,terminal_kai,kai.t@mail.example,2025-03-20 10:00:00
10,sudo_sarah,sarah.sudo@mail.example,2025-04-01 09:00:00
11,packet_pete,pete.p@mail.example,2025-04-05 10:00:00
12,devsec_dia,dia.d@mail.example,2025-04-08 11:00:00
13,shellcode_sam,sam.sc@mail.example,2025-04-10 09:00:00
14,xor_xena,xena.x@mail.example,2025-04-12 14:00:00
15,fuzzr_felix,felix.fz@mail.example,2025-04-15 08:00:00
16,netcat_neo,neo.nc@mail.example,2025-04-18 10:00:00
17,bytesmith,byte.s@mail.example,2025-04-20 12:00:00
18,vuln_viv,viv.v@mail.example,2025-04-22 09:00:00
19,traceroute_ty,ty.tr@mail.example,2025-04-25 11:00:00
20,asm_archer,archer.asm@mail.example,2025-04-28 08:00:00
21,commonhuman_,lab@commonhuman.example,2025-01-01 00:00:00
